REQ-ID,原子要求,来源文件,来源位置,摘录/说明,类别,验收条件,关联审查项
REQ-M4-04,记录发送状态前端展示已发送至责任人,7.（创灵境）…企业出题.docx,P081|5.4.2,"模拟'发送微信消息'的闭环：系统记录任务发送状态，前端展示'已发送至XX责任人'",赛题强制,前端展示责任人送达状态,AUD-M4-闭环
REQ-M4-05,任务追踪看板（加分）,7.（创灵境）…企业出题.docx,P083|5.4.3,"展示：已生成任务数、已送达数、确认数（模拟）",赛题加分,三计数真实统计,AUD-M4-看板
REQ-T-01,大模型支持OpenAI兼容格式,7.（创灵境）…企业出题.docx,TABLE3|6.1,开源模型或商用API需支持OpenAI兼容格式,赛题强制,OpenAI兼容客户端实现且可配置,AUD-MODEL
REQ-T-02,RAG框架与向量数据库,7.（创灵境）…企业出题.docx,TABLE3|6.1,"支持LangChain/GraphRAG/LlamaIndex等主流框架，向量数据库可选用ChromaDB/Milvus/FAISS",赛题强制,使用主流RAG栈与向量库,AUD-RAG
REQ-T-03,Web前端+ECharts,7.（创灵境）…企业出题.docx,TABLE3|6.1,Web界面推荐Streamlit/Gradio/Flask+Vue看板使用ECharts,赛题强制,Web前端+ECharts实现,AUD-M2-看板
REQ-T-04,Python后端（FastAPI/Flask/Django）,7.（创灵境）…企业出题.docx,TABLE3|6.1,后端Python（FastAPI/Flask/Django）,赛题强制,Python Web框架实现,AUD-ARCH
REQ-T-05,提供Dockerfile或requirements.txt支持一键启动,7.（创灵境）…企业出题.docx,TABLE3|6.1,部署需提供Dockerfile或requirements.txt支持一键启动,赛题强制,一键启动真实可用,AUD-DEPLOY
REQ-T-06,知识图谱增强RAG（加分）,7.（创灵境）…企业出题.docx,P088|6.2,知识图谱增强RAG（配方工艺构建图谱辅助检索）,赛题加分,图谱真实辅助检索（非仅可视化）,AUD-KG
REQ-T-07,多模型协作（加分）,7.（创灵境）…企业出题.docx,P089|6.2,多模型协作（不同任务使用不同模型）,赛题加分,路由到不同模型且有任务分工证据,AUD-MODEL
REQ-T-08,Agent自主决策（加分）,7.（创灵境）…企业出题.docx,P090|6.2,Agent自主决策（自动判断需要生成报告还是仅更新看板）,赛题加分,决策逻辑真实执行,AUD-AGENT
REQ-T-09,成本预测（加分）,7.（创灵境）…企业出题.docx,P091|6.2,成本预测（基于历史数据用简单时序模型预测下月成本趋势）,赛题加分,时序预测无数据泄漏且有基线对比,AUD-FORECAST
REQ-T-10,赛题数据仅限大赛使用严禁外传,7.（创灵境）…企业出题.docx,P093|6.3,所有赛题数据仅限本次大赛使用，严禁外传,赛题约束,公开仓库不含违规外传数据（公开边界核对）,AUD-SEC
REQ-T-11,引用开源代码标注来源与许可证,7.（创灵境）…企业出题.docx,P094|6.3,引用开源代码需明确标注来源与许可证,赛题约束,依赖与借用代码有许可证标注,AUD-LICENSE
REQ-D-01,完整代码公开仓库一键启动,7.（创灵境）…企业出题.docx,TABLE4|八,系统完整代码含Dockerfile或requirements.txt支持一键启动Web服务代码托管于GitHub/Gitee公开仓库,赛题必交,仓库公开且一键启动可用,AUD-DELIVERY
REQ-D-02,技术方案文档（架构/RAG流程/Prompt/模板解析/API）,7.（创灵境）…企业出题.docx,TABLE4|八,"包含：系统架构图、RAG流程说明（文档切分策略、向量化方案、检索策略）、Prompt设计文档、报告模板解析逻辑、模块API接口文档",赛题必交,五要素齐备且与实现一致,AUD-DOC
REQ-D-03,评测报告（3场景四指标）,7.（创灵境）…企业出题.docx,TABLE4|八,"包含：报告结构完整度、归因合理性评分（人工）、RPA触发成功率、对标分析三步法输出格式正确率",赛题必交,评测报告含四指标真实结果,AUD-EVAL
REQ-D-04,演示视频≤5分钟端到端流程,7.（创灵境）…企业出题.docx,TABLE4|八,"完整展示：选择分析条件→生成报告→看板展示→对标分析→发送RPA任务的端到端流程",赛题必交,视频存在且流程完整（画面内容需人工确认）,AUD-DELIVERY
REQ-D-05,决赛演示PPT,7.（创灵境）…企业出题.docx,TABLE4|八,系统演示PPT用于决赛现场答辩,赛题必交(决赛),PPT存在且内容与实现一致,AUD-DELIVERY
REQ-D-06,成本预测模型（可选交付）,7.（创灵境）…企业出题.docx,TABLE4|八,（加分项）成本预测模型——基于历史数据的成本趋势预测功能,赛题可选,同REQ-T-09,AUD-FORECAST
REQ-D-07,行业可扩展性作为加分亮点,7.（创灵境）…企业出题.docx,P122|十,系统可直接迁移至其他制造行业…在方案设计中可考虑系统的行业可扩展性作为加分亮点,赛题加分说明,配置化扩展能力有证据（非硬编码行业名）,AUD-GEN
REQ-U-01,Docker+Compose正式部署,用户确认要求,2026-09任务书,正式部署用docker compose拉起完整服务,用户要求,Compose配置完整可一键启动,AUD-DEPLOY
REQ-U-02,Windows桌面快捷方式+启动脚本启动同一套Compose服务,用户确认要求,2026-09任务书,快捷方式与脚本启动同一套Compose服务（非另起进程）,用户要求,双击入口与Compose为同一服务栈,AUD-DEPLOY
REQ-U-03,暂不使用Figma不开发独立EXE,用户确认要求,2026-09任务书,不要求Figma设计稿与独立EXE,用户要求(负面),不作为缺陷项,INFO
REQ-U-04,完善Web业务数据/知识文档/报告模板接入,用户确认要求,2026-09任务书,三类内容经Web界面完成接入,用户要求,Web上传导入真实生效,AUD-DATA
REQ-U-05,完善云端API与本地模型服务配置测试调用,用户确认要求,2026-09任务书,云端API与本地服务均可配置/测试/调用,用户要求,配置项真实影响调用路径,AUD-MODEL
REQ-U-06,保留通用制造业成本分析框架与企业配置能力,用户确认要求,2026-09任务书,通用框架不因制药特化丢失,用户要求,新企业可配置接入,AUD-GEN
REQ-U-07,正式演示仅用赛题制药数据,用户确认要求,2026-09任务书,不制作其他行业完整合成演示,用户要求,演示路径仅制药数据,INFO
REQ-U-08,受控测试数据与正式演示隔离,用户确认要求,2026-09任务书,测试数据不污染正式演示数据,用户要求,测试与正式数据目录隔离,AUD-TEST
REQ-U-09,优先复用现有技术避免不必要微服务/平台化/重写,用户确认要求,2026-09任务书,技术选型保守复用,用户要求,架构与建议遵循该约束,AUD-ARCH
