REQ-ID,要求类别,来源,位置,摘录/内容,验收条件,审查项关联,判定
REQ-M4-02,赛题强制,赛题原文DOCX,5.4.2 P78-79,"通过HTTP API将整改任务JSON发送到模拟RPA服务；200=成功触发","POST localhost:8090/api/rpa/tasks+四重判定",AUD-API-02,满足(静态确认+单测级故障注入;实发待实测)
REQ-M4-03,赛题强制,赛题原文DOCX,5.4.2 P80,"模拟发送微信消息闭环：记录任务发送状态，前端展示已发送至XX责任人","notify_status回执落库+前端展示",AUD-API-02,满足(静态确认)
REQ-M4-04,赛题加分,赛题原文DOCX,5.4.3 P82,"任务追踪看板：已生成任务数/已送达数/确认数(模拟)","三统计看板",AUD-FE-04,满足(静态确认:Rectification三统计)
REQ-T1,赛题强制,赛题原文DOCX,6.1 T2R1,"大模型：开源模型或商用API，需支持OpenAI兼容格式","OpenAI兼容网关",AUD-MDL-02,满足(静态确认)
REQ-T2,赛题强制,赛题原文DOCX,6.1 T2R2,"RAG框架：LangChain/GraphRAG/LlamaIndex等；向量库ChromaDB/Milvus/FAISS","RAG框架+向量库",AUD-RAG-03,满足(静态确认:自研轻量RAG+chromadb;框架非字面列举项,见REVIEW注)
REQ-T3,赛题强制,赛题原文DOCX,6.1 T2R3,"前端Web界面(推荐Streamlit/Gradio/Flask+Vue)，看板使用ECharts","Web+ECharts",AUD-FE-03,满足(静态确认:React+ECharts;推荐项非强制)
REQ-T4,赛题强制,赛题原文DOCX,6.1 T2R4,"后端Python(FastAPI/Flask/Django)","FastAPI",AUD-API-03,满足
REQ-T5,赛题强制,赛题原文DOCX,6.1 T2R5,"部署：需提供Dockerfile或requirements.txt，支持一键启动","Dockerfile+requirements+一键启动",AUD-DEP-01,满足(Dockerfile/requirements/compose/启动器齐;部分链路待实测)
REQ-B1,赛题加分,赛题原文DOCX,6.2 P87,"知识图谱增强RAG（配方/工艺构建知识图谱辅助检索）","图谱真实参与检索增强",AUD-RAG-04,满足(静态确认:BM25扩展真实接入,标注experimental)
REQ-B2,赛题加分,赛题原文DOCX,6.2 P88,"多模型协作（不同任务不同模型）","分任务路由(报表大模型/提取小模型)",AUD-MDL-02,满足(静态确认:extraction/analysis/vector三路由)
REQ-B3,赛题加分,赛题原文DOCX,6.2 P89,"Agent自主决策（自动判断生成报告还是仅更新看板）","决策引擎+台账",AUD-CORE-05,满足(静态确认:decision.py确定性策略+SQLite台账)
REQ-B4,赛题加分,赛题原文DOCX,6.2 P90,"成本预测（基于历史数据用简单时序模型预测下月成本趋势）","时序预测+有效性证据",AUD-CORE-06,满足(静态确认:Holt v3+滚动留出vs朴素基线)
REQ-C1,赛题强制,赛题原文DOCX,6.3 P92,"所有赛题数据仅限本次大赛使用，严禁外传","数据边界管控",AUD-DEL-05,满足(静态确认:授权记录/合成标注/停用开关)
REQ-C2,赛题强制,赛题原文DOCX,6.3 P93,"引用开源代码需明确标注来源与许可证","来源与许可证标注",AUD-DEL-06,部分满足(LICENSE_STATUS如实披露但根LICENSE缺)
REQ-D1a,赛题强制(交付),赛题原文DOCX,八 T3R1,"系统完整代码：含Dockerfile或requirements.txt支持一键启动Web服务",">",AUD-DEP-01,满足
REQ-D1b,赛题强制(交付),赛题原文DOCX,八 T3R1,"代码托管于GitHub/Gitee公开仓库","公开可访问",AUD-DEL-07,待验证(本审查经git@SSH访问;匿名HTTP可见性未测)
REQ-D2,赛题强制(交付),赛题原文DOCX,八 T3R2,"技术方案文档：架构图/RAG流程(切分/向量化/检索)/Prompt设计/模板解析逻辑/模块API接口文档","六要素",AUD-DEL-08,满足(抽查8/8路由一致;prompt文档滞后3版为P2)
REQ-D3,赛题强制(交付),赛题原文DOCX,八 T3R3,"评测报告：3场景结构完整度/归因人工评分/RPA触发成功率/三步法格式正确率","四指标评测产物",AUD-DEL-03,部分满足(评测主文档停0919;人工评分PENDING;场景回执断链)
REQ-D4a,赛题强制(交付),赛题原文DOCX,八 T3R4,"演示视频(5分钟内)：完整展示选择条件→生成报告→看板→对标→RPA任务端到端","时长≤5min+流程覆盖",AUD-DEL-09,部分满足(169.8s合规+回执流程覆盖;绑定旧提交且画面未人工看过)
REQ-D5,赛题强制(决赛),赛题原文DOCX,八 T3R5,"系统演示PPT用于决赛答辩","PPT存在且数据一致",AUD-DEL-09,部分满足(0918未刷新;渲染未看)
REQ-D6,赛题加分(交付),赛题原文DOCX,八 T3R6,"成本预测模型(可选)","=REQ-B4",AUD-CORE-06,满足
REQ-X1,赛题加分,赛题原文DOCX,三P13/十P121,"向其他制造行业横向扩展的潜力（产品目标+横向扩展说明）","通用框架真实可配置",AUD-IND-02,满足(静态确认:单后端多包+配置矩阵;新行业部分项需改码已列明)
REQ-U1,用户要求,用户确认清单,2026-09,"Docker＋Compose 正式部署","compose 服务化部署",AUD-DEP-02,满足(静态确认;实机待测)
REQ-U2,用户要求,用户确认清单,2026-09,"Windows 桌面快捷方式＋启动脚本，启动同一套 Compose 服务","bat/ps1→同一compose",AUD-DEP-03,部分满足(链路静态一致;发行名硬编码Ubuntu-20.04等P3)
REQ-U3,用户要求,用户确认清单,2026-09,"暂不使用 Figma，不要求开发独立 EXE","—","—",不适用(未使用/未开发,确认无违背)
REQ-U4,用户要求,用户确认清单,2026-09,"完善 Web 业务数据、知识文档及报告模板接入","导入链路可用",AUD-IMP-01,不满足(业务数据导入量纲P0;模板接入满足)
REQ-U5,用户要求,用户确认清单,2026-09,"完善云端 API 与本地模型服务的配置、测试和调用","双通道配置+测试+调用",AUD-MDL-02,满足(静态确认;P3项:effort不进指纹/网络错误零重试等)
REQ-U6,用户要求,用户确认清单,2026-09,"保留通用制造业成本分析框架与企业配置能力","框架通用性",AUD-IND-02,满足
REQ-U7,用户要求,用户确认清单,2026-09,"正式演示仅使用赛题制药数据，不继续制作其他行业完整合成演示","演示数据=制药题包",AUD-IND-03,满足(chemical/mechanical仅tests引用,默认不可达)
REQ-U8,用户要求,用户确认清单,2026-09,"必要的受控测试数据与正式演示隔离","测试数据隔离",AUD-TST-01,满足(ARTIFACTS护栏根治桩污染;测试tmp隔离)
REQ-U9,用户要求,用户确认清单,2026-09,"优先复用现有技术，避免不必要的微服务、平台化和大规模重写","架构形态",AUD-IND-02,满足(单体FastAPI+worker,无微服务化)
REQ-E1,工程要求,审查框架,七,"分析、看板、报告、验收共用一致口径与来源","单一指标快照",AUD-CORE-07,满足(静态确认:metric_contract+单点metrics)
REQ-E2,工程要求,审查框架,七,"数值标准答案独立从源字段推导","对拍",AUD-CORE-04,满足(本轮11/11零误差)
REQ-E3,工程要求,审查框架,六15,"密钥不泄漏(日志/前端/仓库)","密钥面检查",AUD-MDL-03,满足(静态确认:密钥文件隔离+脱敏+桩全假钥)
REQ-E4,工程要求,审查框架,六16,"测试有效性(expected独立/不过度假验/无恒真)","有效性红旗清查",AUD-TST-01,部分满足(红旗少但verify_docx自洽校验+数值链中段自洽重算两处系统性弱点)
